1.000e+07 5.191e+00 2.648e-01 1.472e-03 7.391e-01 2.672e+00 2.252e+00 
7.788e+06 5.907e+00 0.000e+00 1.589e-03 7.685e-01 3.383e+00 2.523e+00 
6.065e+06 6.956e+00 0.000e+00 2.014e-03 7.762e-01 4.358e+00 2.596e+00 
4.724e+06 7.551e+00 0.000e+00 2.240e-03 7.395e-01 5.016e+00 2.533e+00 
3.679e+06 7.670e+00 0.000e+00 2.154e-03 6.497e-01 5.333e+00 2.334e+00 
2.865e+06 6.952e+00 0.000e+00 2.113e-03 5.188e-01 4.973e+00 1.976e+00 
2.231e+06 5.715e+00 0.000e+00 2.450e-03 3.856e-01 4.244e+00 1.469e+00 
1.738e+06 4.999e+00 0.000e+00 3.350e-03 2.916e-01 4.060e+00 9.350e-01 
1.353e+06 4.910e+00 0.000e+00 3.895e-03 2.378e-01 4.356e+00 5.496e-01 
1.054e+06 4.946e+00 0.000e+00 4.999e-03 2.010e-01 4.709e+00 2.324e-01 
8.208e+05 5.539e+00 0.000e+00 5.245e-03 1.735e-01 5.533e+00 9.059e-04 
6.393e+05 5.836e+00 0.000e+00 7.015e-03 1.572e-01 5.829e+00 6.358e-06 
4.979e+05 5.933e+00 0.000e+00 8.944e-03 1.398e-01 5.924e+00 2.210e-06 
3.877e+05 5.537e+00 0.000e+00 6.641e-03 1.208e-01 5.530e+00 9.682e-07 
3.020e+05 7.435e+00 0.000e+00 6.286e-03 1.025e-01 7.429e+00 4.810e-07 
2.352e+05 7.638e+00 0.000e+00 7.043e-03 8.843e-02 7.631e+00 1.179e-07 
1.832e+05 8.967e+00 0.000e+00 8.119e-03 7.215e-02 8.959e+00 1.272e-08 
1.426e+05 9.435e+00 0.000e+00 1.928e-02 5.934e-02 9.415e+00 0.000e+00 
1.111e+05 9.500e+00 0.000e+00 8.941e-03 4.860e-02 9.491e+00 0.000e+00 
8.652e+04 9.583e+00 0.000e+00 9.133e-03 3.901e-02 9.574e+00 0.000e+00 
6.738e+04 9.639e+00 0.000e+00 1.271e-02 3.139e-02 9.626e+00 0.000e+00 
5.248e+04 1.030e+01 0.000e+00 8.420e-03 2.525e-02 1.029e+01 0.000e+00 
4.087e+04 1.036e+01 0.000e+00 1.105e-02 2.024e-02 1.035e+01 0.000e+00 
3.183e+04 1.132e+01 0.000e+00 1.751e-02 1.620e-02 1.130e+01 0.000e+00 
2.479e+04 1.036e+01 0.000e+00 1.931e-02 1.330e-02 1.034e+01 0.000e+00 
1.930e+04 1.032e+01 0.000e+00 3.656e-02 1.095e-02 1.029e+01 0.000e+00 
1.503e+04 1.049e+01 0.000e+00 1.019e-02 9.116e-03 1.048e+01 0.000e+00 
1.171e+04 1.046e+01 0.000e+00 1.303e-02 7.687e-03 1.044e+01 0.000e+00 
9.119e+03 1.051e+01 0.000e+00 3.148e-05 6.656e-03 1.051e+01 0.000e+00 
7.102e+03 1.057e+01 0.000e+00 3.683e-05 5.872e-03 1.057e+01 0.000e+00 
5.531e+03 1.061e+01 0.000e+00 4.684e-05 5.262e-03 1.061e+01 0.000e+00 
4.307e+03 1.147e+01 0.000e+00 1.665e-01 4.775e-03 1.130e+01 0.000e+00 
3.355e+03 1.070e+01 0.000e+00 3.898e-03 4.417e-03 1.070e+01 0.000e+00 
2.613e+03 1.072e+01 0.000e+00 7.763e-05 4.128e-03 1.072e+01 0.000e+00 
2.035e+03 1.074e+01 0.000e+00 8.596e-05 3.904e-03 1.074e+01 0.000e+00 
1.585e+03 1.076e+01 0.000e+00 9.916e-05 3.729e-03 1.076e+01 0.000e+00 
1.234e+03 1.077e+01 0.000e+00 1.151e-04 3.593e-03 1.077e+01 0.000e+00 
9.611e+02 1.078e+01 0.000e+00 1.332e-04 3.509e-03 1.078e+01 0.000e+00 
7.485e+02 1.079e+01 0.000e+00 1.536e-04 3.455e-03 1.079e+01 0.000e+00 
5.829e+02 1.080e+01 0.000e+00 1.766e-04 3.413e-03 1.080e+01 0.000e+00 
4.540e+02 1.081e+01 0.000e+00 2.022e-04 3.380e-03 1.081e+01 0.000e+00 
3.536e+02 1.081e+01 0.000e+00 2.313e-04 3.355e-03 1.081e+01 0.000e+00 
2.754e+02 1.081e+01 0.000e+00 2.641e-04 3.335e-03 1.081e+01 0.000e+00 
2.145e+02 1.082e+01 0.000e+00 3.010e-04 3.319e-03 1.082e+01 0.000e+00 
1.670e+02 1.082e+01 0.000e+00 3.427e-04 3.307e-03 1.082e+01 0.000e+00 
1.301e+02 1.082e+01 0.000e+00 3.898e-04 3.298e-03 1.082e+01 0.000e+00 
1.013e+02 1.082e+01 0.000e+00 4.430e-04 3.291e-03 1.082e+01 0.000e+00 
7.889e+01 1.082e+01 0.000e+00 5.030e-04 3.285e-03 1.082e+01 0.000e+00 
6.144e+01 1.082e+01 0.000e+00 5.712e-04 3.280e-03 1.082e+01 0.000e+00 
4.785e+01 1.082e+01 0.000e+00 6.480e-04 3.277e-03 1.082e+01 0.000e+00 
3.727e+01 1.082e+01 0.000e+00 7.352e-04 3.274e-03 1.082e+01 0.000e+00 
2.902e+01 1.082e+01 0.000e+00 8.336e-04 3.272e-03 1.082e+01 0.000e+00 
2.260e+01 1.082e+01 0.000e+00 9.454e-04 3.270e-03 1.082e+01 0.000e+00 
1.760e+01 1.083e+01 0.000e+00 1.072e-03 3.269e-03 1.082e+01 0.000e+00 
1.371e+01 1.083e+01 0.000e+00 1.215e-03 3.268e-03 1.082e+01 0.000e+00 
1.068e+01 1.083e+01 0.000e+00 1.377e-03 3.267e-03 1.082e+01 0.000e+00 
8.315e+00 1.083e+01 0.000e+00 1.561e-03 3.267e-03 1.082e+01 0.000e+00 
6.476e+00 1.083e+01 0.000e+00 1.769e-03 3.266e-03 1.082e+01 0.000e+00 
5.043e+00 1.083e+01 0.000e+00 2.005e-03 3.266e-03 1.082e+01 0.000e+00 
3.928e+00 1.083e+01 0.000e+00 2.272e-03 3.266e-03 1.082e+01 0.000e+00 
3.059e+00 1.083e+01 0.000e+00 2.574e-03 3.265e-03 1.082e+01 0.000e+00 
2.382e+00 1.083e+01 0.000e+00 2.918e-03 3.265e-03 1.082e+01 0.000e+00 
1.855e+00 1.083e+01 0.000e+00 3.203e-03 3.265e-03 1.082e+01 0.000e+00 
1.637e+00 1.083e+01 0.000e+00 3.409e-03 3.265e-03 1.082e+01 0.000e+00 
1.445e+00 1.083e+01 0.000e+00 3.631e-03 3.265e-03 1.082e+01 0.000e+00 
1.275e+00 1.083e+01 0.000e+00 3.863e-03 3.265e-03 1.082e+01 0.000e+00 
1.125e+00 1.083e+01 0.000e+00 4.113e-03 3.265e-03 1.082e+01 0.000e+00 
9.931e-01 1.083e+01 0.000e+00 4.380e-03 3.265e-03 1.082e+01 0.000e+00 
8.764e-01 1.083e+01 0.000e+00 4.660e-03 3.265e-03 1.082e+01 0.000e+00 
