1.000e+07 5.170e+00 1.482e-01 2.979e-03 7.423e-01 2.640e+00 2.378e+00 
7.788e+06 5.880e+00 0.000e+00 5.842e-03 7.714e-01 3.340e+00 2.534e+00 
6.065e+06 6.810e+00 0.000e+00 1.054e-02 7.819e-01 4.179e+00 2.621e+00 
4.724e+06 7.356e+00 0.000e+00 1.502e-02 7.503e-01 4.755e+00 2.586e+00 
3.679e+06 7.329e+00 0.000e+00 1.798e-02 6.663e-01 4.892e+00 2.419e+00 
2.865e+06 6.728e+00 0.000e+00 1.974e-02 5.382e-01 4.619e+00 2.089e+00 
2.231e+06 5.851e+00 0.000e+00 2.264e-02 4.051e-01 4.245e+00 1.583e+00 
1.738e+06 5.317e+00 0.000e+00 3.339e-02 2.975e-01 4.406e+00 8.778e-01 
1.353e+06 5.035e+00 0.000e+00 4.413e-02 2.397e-01 4.550e+00 4.407e-01 
1.054e+06 5.042e+00 0.000e+00 5.402e-02 2.006e-01 4.884e+00 1.033e-01 
8.208e+05 5.223e+00 0.000e+00 5.363e-02 1.770e-01 5.169e+00 1.808e-04 
6.393e+05 5.985e+00 0.000e+00 4.840e-02 1.595e-01 5.936e+00 6.075e-05 
4.979e+05 6.243e+00 0.000e+00 4.601e-02 1.422e-01 6.197e+00 2.090e-05 
3.877e+05 6.846e+00 0.000e+00 4.616e-02 1.223e-01 6.800e+00 9.083e-06 
3.020e+05 7.311e+00 0.000e+00 4.734e-02 1.046e-01 7.264e+00 4.513e-06 
2.352e+05 8.273e+00 0.000e+00 4.863e-02 8.981e-02 8.224e+00 1.106e-06 
1.832e+05 8.315e+00 0.000e+00 5.156e-02 7.397e-02 8.263e+00 1.194e-07 
1.426e+05 8.563e+00 0.000e+00 5.515e-02 6.086e-02 8.508e+00 0.000e+00 
1.111e+05 1.049e+01 0.000e+00 5.891e-02 4.962e-02 1.043e+01 0.000e+00 
8.652e+04 8.924e+00 0.000e+00 6.099e-02 3.990e-02 8.863e+00 0.000e+00 
6.738e+04 1.068e+01 0.000e+00 5.445e-02 3.218e-02 1.062e+01 0.000e+00 
5.248e+04 1.089e+01 0.000e+00 5.657e-02 2.580e-02 1.084e+01 0.000e+00 
4.087e+04 1.147e+01 0.000e+00 6.517e-02 2.087e-02 1.140e+01 0.000e+00 
3.183e+04 1.114e+01 0.000e+00 6.782e-02 1.669e-02 1.107e+01 0.000e+00 
2.479e+04 1.233e+01 0.000e+00 8.073e-02 1.388e-02 1.225e+01 0.000e+00 
1.930e+04 1.020e+01 0.000e+00 4.291e-02 1.118e-02 1.016e+01 0.000e+00 
1.503e+04 1.556e+01 0.000e+00 1.167e-01 9.344e-03 1.544e+01 0.000e+00 
1.171e+04 1.211e+01 0.000e+00 1.841e-01 7.812e-03 1.193e+01 0.000e+00 
9.119e+03 1.886e+01 0.000e+00 3.334e-01 6.913e-03 1.853e+01 0.000e+00 
7.102e+03 1.053e+01 0.000e+00 1.124e-01 6.018e-03 1.042e+01 0.000e+00 
5.531e+03 1.030e+01 0.000e+00 8.932e-02 5.358e-03 1.021e+01 0.000e+00 
4.307e+03 1.105e+01 0.000e+00 9.820e-02 4.868e-03 1.096e+01 0.000e+00 
3.355e+03 1.275e+01 0.000e+00 4.889e-02 4.480e-03 1.270e+01 0.000e+00 
2.613e+03 2.461e+01 0.000e+00 1.276e+00 4.239e-03 2.334e+01 0.000e+00 
2.035e+03 3.036e+01 0.000e+00 4.528e+00 3.935e-03 2.583e+01 0.000e+00 
1.585e+03 9.779e+00 0.000e+00 3.299e-01 3.774e-03 9.449e+00 0.000e+00 
1.234e+03 1.062e+01 0.000e+00 7.501e-03 3.638e-03 1.061e+01 0.000e+00 
9.611e+02 1.107e+01 0.000e+00 5.536e-03 3.551e-03 1.106e+01 0.000e+00 
7.485e+02 1.135e+01 0.000e+00 5.240e-03 3.495e-03 1.134e+01 0.000e+00 
5.829e+02 1.177e+01 0.000e+00 7.178e-02 3.451e-03 1.170e+01 0.000e+00 
4.540e+02 1.170e+01 0.000e+00 5.901e-03 3.417e-03 1.170e+01 0.000e+00 
3.536e+02 1.182e+01 0.000e+00 6.526e-03 3.390e-03 1.181e+01 0.000e+00 
2.754e+02 1.190e+01 0.000e+00 7.298e-03 3.370e-03 1.190e+01 0.000e+00 
2.145e+02 1.197e+01 0.000e+00 8.211e-03 3.353e-03 1.197e+01 0.000e+00 
1.670e+02 1.203e+01 0.000e+00 9.265e-03 3.341e-03 1.202e+01 0.000e+00 
1.301e+02 1.207e+01 0.000e+00 1.048e-02 3.331e-03 1.206e+01 0.000e+00 
1.013e+02 1.210e+01 0.000e+00 1.186e-02 3.324e-03 1.209e+01 0.000e+00 
7.889e+01 1.213e+01 0.000e+00 1.343e-02 3.318e-03 1.212e+01 0.000e+00 
6.144e+01 1.215e+01 0.000e+00 1.521e-02 3.313e-03 1.214e+01 0.000e+00 
4.785e+01 1.217e+01 0.000e+00 1.724e-02 3.309e-03 1.215e+01 0.000e+00 
3.727e+01 1.218e+01 0.000e+00 1.953e-02 3.307e-03 1.216e+01 0.000e+00 
2.902e+01 1.220e+01 0.000e+00 2.213e-02 3.304e-03 1.217e+01 0.000e+00 
2.260e+01 1.221e+01 0.000e+00 2.507e-02 3.303e-03 1.218e+01 0.000e+00 
1.760e+01 1.221e+01 0.000e+00 2.841e-02 3.301e-03 1.219e+01 0.000e+00 
1.371e+01 1.222e+01 0.000e+00 3.220e-02 3.300e-03 1.219e+01 0.000e+00 
1.068e+01 1.223e+01 0.000e+00 3.649e-02 3.300e-03 1.219e+01 0.000e+00 
8.315e+00 1.224e+01 0.000e+00 4.134e-02 3.299e-03 1.220e+01 0.000e+00 
6.476e+00 1.225e+01 0.000e+00 4.685e-02 3.298e-03 1.220e+01 0.000e+00 
5.043e+00 1.225e+01 0.000e+00 5.309e-02 3.298e-03 1.220e+01 0.000e+00 
3.928e+00 1.226e+01 0.000e+00 6.017e-02 3.298e-03 1.220e+01 0.000e+00 
3.059e+00 1.227e+01 0.000e+00 6.818e-02 3.298e-03 1.220e+01 0.000e+00 
2.382e+00 1.228e+01 0.000e+00 7.725e-02 3.297e-03 1.220e+01 0.000e+00 
1.855e+00 1.229e+01 0.000e+00 8.479e-02 3.297e-03 1.220e+01 0.000e+00 
1.637e+00 1.229e+01 0.000e+00 9.030e-02 3.297e-03 1.220e+01 0.000e+00 
1.445e+00 1.230e+01 0.000e+00 9.609e-02 3.297e-03 1.220e+01 0.000e+00 
1.275e+00 1.231e+01 0.000e+00 1.023e-01 3.297e-03 1.220e+01 0.000e+00 
1.125e+00 1.231e+01 0.000e+00 1.089e-01 3.297e-03 1.221e+01 0.000e+00 
9.931e-01 1.232e+01 0.000e+00 1.159e-01 3.297e-03 1.221e+01 0.000e+00 
8.764e-01 1.233e+01 0.000e+00 1.234e-01 3.297e-03 1.221e+01 0.000e+00 
7.734e-01 1.234e+01 0.000e+00 1.314e-01 3.297e-03 1.221e+01 0.000e+00 
6.826e-01 1.235e+01 0.000e+00 1.399e-01 3.297e-03 1.221e+01 0.000e+00 
6.024e-01 1.235e+01 0.000e+00 1.489e-01 3.297e-03 1.221e+01 0.000e+00 
5.316e-01 1.236e+01 0.000e+00 1.584e-01 3.297e-03 1.221e+01 0.000e+00 
4.691e-01 1.237e+01 0.000e+00 1.686e-01 3.297e-03 1.221e+01 0.000e+00 
4.140e-01 1.238e+01 0.000e+00 1.767e-01 3.297e-03 1.221e+01 0.000e+00 
3.893e-01 1.239e+01 0.000e+00 1.823e-01 3.297e-03 1.221e+01 0.000e+00 
3.653e-01 1.239e+01 0.000e+00 1.883e-01 3.297e-03 1.221e+01 0.000e+00 
3.421e-01 1.240e+01 0.000e+00 1.947e-01 3.297e-03 1.221e+01 0.000e+00 
3.196e-01 1.241e+01 0.000e+00 2.015e-01 3.297e-03 1.221e+01 0.000e+00 
2.979e-01 1.242e+01 0.000e+00 2.088e-01 3.297e-03 1.221e+01 0.000e+00 
2.770e-01 1.242e+01 0.000e+00 2.167e-01 3.297e-03 1.221e+01 0.000e+00 
2.568e-01 1.243e+01 0.000e+00 2.252e-01 3.297e-03 1.221e+01 0.000e+00 
2.374e-01 1.244e+01 0.000e+00 2.344e-01 3.297e-03 1.221e+01 0.000e+00 
2.188e-01 1.245e+01 0.000e+00 2.445e-01 3.297e-03 1.221e+01 0.000e+00 
2.009e-01 1.247e+01 0.000e+00 2.554e-01 3.297e-03 1.221e+01 0.000e+00 
1.838e-01 1.248e+01 0.000e+00 2.673e-01 3.297e-03 1.221e+01 0.000e+00 
1.674e-01 1.249e+01 0.000e+00 2.804e-01 3.297e-03 1.221e+01 0.000e+00 
1.518e-01 1.251e+01 0.000e+00 2.948e-01 3.297e-03 1.222e+01 0.000e+00 
1.370e-01 1.253e+01 0.000e+00 3.107e-01 3.297e-03 1.222e+01 0.000e+00 
1.229e-01 1.255e+01 0.000e+00 3.285e-01 3.297e-03 1.222e+01 0.000e+00 
1.096e-01 1.257e+01 0.000e+00 3.485e-01 3.297e-03 1.222e+01 0.000e+00 
9.708e-02 1.259e+01 0.000e+00 3.710e-01 3.297e-03 1.222e+01 0.000e+00 
8.540e-02 1.262e+01 0.000e+00 3.967e-01 3.297e-03 1.222e+01 0.000e+00 
7.428e-02 1.265e+01 0.000e+00 4.264e-01 3.297e-03 1.223e+01 0.000e+00 
6.402e-02 1.269e+01 0.000e+00 4.606e-01 3.297e-03 1.223e+01 0.000e+00 
5.452e-02 1.273e+01 0.000e+00 5.009e-01 3.297e-03 1.223e+01 0.000e+00 
4.578e-02 1.278e+01 0.000e+00 5.487e-01 3.297e-03 1.223e+01 0.000e+00 
3.781e-02 1.284e+01 0.000e+00 6.064e-01 3.297e-03 1.223e+01 0.000e+00 
